x_metres,y_metres,z_metres
-4.837430340760529468e+00,-3.286841677293736108e+00,7.670106887817382812e+00
-4.316350251757490319e+00,-3.149889974796032277e+00,7.350519180297851562e+00
-3.619770303544489920e+00,-2.852730543211500880e+00,6.657073974609375000e+00
-3.677309168569923958e+00,-3.149889974796032277e+00,7.350519180297851562e+00
-3.429230928919299259e+00,-3.216908901734790049e+00,7.506913185119628906e+00
-3.941536933015779898e+00,-4.086343706905726236e+00,9.535808563232421875e+00
-3.434207423732936082e+00,-3.978808389216041075e+00,9.284866333007812500e+00
-3.198969440020245525e+00,-4.199853435952849878e+00,9.800692558288574219e+00
-2.170128457163990721e+00,-3.286841677293736108e+00,7.670106887817382812e+00
-1.797636678382466879e+00,-3.216908901734790049e+00,7.506913185119628906e+00
-1.440665377413441028e+00,-3.149889974796032277e+00,7.350519180297851562e+00
-1.121144835819657848e+00,-3.149889974796032277e+00,7.350519180297851562e+00
-8.744992395195625434e-01,-3.436243646020618936e+00,8.018748283386230469e+00
-4.821037526320912092e-01,-3.149889974796032277e+00,7.350519180297851562e+00
-1.625832110383079454e-01,-3.149889974796032277e+00,7.350519180297851562e+00
1.569373305554753462e-01,-3.149889974796032277e+00,7.350519180297851562e+00
4.764578721492586655e-01,-3.149889974796032277e+00,7.350519180297851562e+00
7.797339573735123652e-01,-3.085606510092791410e+00,7.200508594512939453e+00
1.070879014490659253e+00,-3.023894424845121609e+00,7.056498527526855469e+00
1.497411632781249224e+00,-3.286841677293736108e+00,7.670106887817382812e+00
1.830824368230816512e+00,-3.286841677293736108e+00,7.670106887817382812e+00
2.262611566410162478e+00,-3.436243646020618936e+00,8.018748283386230469e+00
3.023470890583526138e+00,-3.978808389216041075e+00,9.284866333007812500e+00
1.001760630390017148e+01,-1.163036317248123730e+01,2.714037895202636719e+01
1.010230901002872450e+01,-6.872487292041237872e+00,1.603749656677246094e+01
4.399773772977092712e+00,-2.799902222522830275e+00,6.533794879913330078e+00
-1.059627661463365733e+01,-6.469416162078608146e+00,1.680118751525878906e+01
-5.179620526114519841e+00,-3.396443466730316718e+00,8.820623397827148438e+00
